group_id,user_id,user_id_from,event,datetime
39,149488,,leave,2021-04-11 09:57:36
7,149488,,add,2021-04-11 09:57:46
179,14764,,add,2021-04-11 09:57:59
124,120112,,add,2021-04-11 09:58:33
209,103727,,add,2021-04-11 09:58:46
209,120519,,add,2021-04-11 09:59:00
38,125598,,add,2021-04-11 09:59:14
128,149488,,add,2021-04-11 09:59:22
224,91644,72124,add,2021-04-11 09:59:49
249,45822,105376,add,2021-04-11 09:59:51
132,149488,,add,2021-04-11 10:00:00
209,59059,149488,add,2021-04-11 10:00:07
237,149488,62096,add,2021-04-11 10:00:16
83,118208,,add,2021-04-11 10:01:03
43,118091,,add,2021-04-11 10:01:26
121,113666,,add,2021-04-11 10:01:41
237,82519,,add,2021-04-11 10:02:33
50,160764,,add,2021-04-11 10:02:56
5,149488,91745,add,2021-04-11 10:03:03
153,112735,,add,2021-04-11 10:03:14
222,63122,,add,2021-04-11 10:03:24
9,136064,,add,2021-04-11 10:03:31
249,69845,,add,2021-04-11 10:03:44
103,149488,,add,2021-04-11 10:03:45
32,117442,,leave,2021-04-11 10:04:16
76,117383,,add,2021-04-11 10:04:42
118,149488,,add,2021-04-11 10:04:52
237,64607,,add,2021-04-11 10:05:18
93,149488,,add,2021-04-11 10:06:44
115,47766,,add,2021-04-11 10:06:49
57,149488,101039,add,2021-04-11 10:08:11
182,149488,,add,2021-04-11 10:08:48
210,80474,,add,2021-04-11 10:09:13
114,163053,,add,2021-04-11 10:09:52
80,14764,,add,2021-04-11 10:10:00
82,149488,12630,add,2021-04-11 10:10:10
90,6178,,leave,2021-04-11 10:10:59
29,27598,,add,2021-04-11 10:11:51
204,34198,,add,2021-04-11 10:11:56
48,71641,,add,2021-04-11 10:12:32
198,149488,,add,2021-04-11 10:14:52
165,149488,,add,2021-04-11 10:15:56
212,149488,115526,add,2021-04-11 10:16:21
156,102083,,add,2021-04-11 10:17:04
224,15117,,add,2021-04-11 10:17:16
72,7456,135897,add,2021-04-11 10:17:21
61,1185,,add,2021-04-11 10:17:40
44,138735,,add,2021-04-11 10:18:21
10,54295,,add,2021-04-11 10:18:36
35,154538,,add,2021-04-11 10:18:59
69,149488,,add,2021-04-11 10:19:04
218,120219,,add,2021-04-11 10:19:16
202,10589,,add,2021-04-11 10:19:18
220,135240,,add,2021-04-11 10:19:38
101,149488,,add,2021-04-11 10:20:10
197,149488,,add,2021-04-11 10:20:13
231,82421,,add,2021-04-11 10:21:12
37,38479,,add,2021-04-11 10:21:22
187,65021,,leave,2021-04-11 10:22:18
38,149488,,add,2021-04-11 10:22:35
192,127519,,add,2021-04-11 10:23:13
203,4674,,leave,2021-04-11 10:23:34
93,149488,,add,2021-04-11 10:24:13
80,39189,,add,2021-04-11 10:24:42
80,49521,24279,add,2021-04-11 10:24:42
221,84160,,add,2021-04-11 10:25:05
158,120407,149488,add,2021-04-11 10:25:05
53,159164,,add,2021-04-11 10:25:34
210,149488,,add,2021-04-11 10:26:55
249,149488,15589,add,2021-04-11 10:28:36
187,93864,,add,2021-04-11 10:29:05
140,149488,,add,2021-04-11 10:29:23
238,92641,,add,2021-04-11 10:29:35
132,19609,,add,2021-04-11 10:29:45
1,41241,,add,2021-04-11 10:30:14
184,149488,,add,2021-04-11 10:31:25
216,3366,,add,2021-04-11 10:32:28
179,57268,,add,2021-04-11 10:32:39
123,84902,,add,2021-04-11 10:32:39
201,149488,,add,2021-04-11 10:32:42
98,149488,1781,add,2021-04-11 10:32:49
164,120583,,add,2021-04-11 10:32:52
54,7756,,add,2021-04-11 10:33:06
161,25036,,add,2021-04-11 10:33:11
209,91745,,add,2021-04-11 10:33:21
159,149488,,add,2021-04-11 10:34:23
76,48016,,add,2021-04-11 10:34:59
238,74998,,leave,2021-04-11 10:35:27
212,36588,,add,2021-04-11 10:35:37
111,11512,141850,add,2021-04-11 10:35:38
184,24950,,add,2021-04-11 10:36:07
70,6701,,add,2021-04-11 10:36:26
225,111242,,add,2021-04-11 10:36:27
242,149488,,add,2021-04-11 10:36:47
247,148273,,add,2021-04-11 10:36:47
104,1978,,add,2021-04-11 10:37:47
10,70246,,add,2021-04-11 10:38:50
47,149488,,add,2021-04-11 10:38:57
13,106364,,add,2021-04-11 10:39:57
67,129359,,add,2021-04-11 10:40:04
145,149488,,add,2021-04-11 10:40:24
237,33368,,add,2021-04-11 10:40:32
219,166458,,add,2021-04-11 10:41:10
207,149488,,add,2021-04-11 10:41:42
72,149488,,add,2021-04-11 10:43:29
112,30915,,add,2021-04-11 10:43:46
39,137741,149488,add,2021-04-11 10:43:54
124,152650,,add,2021-04-11 10:44:20
85,8994,149488,add,2021-04-11 10:46:14
156,149488,,add,2021-04-11 10:46:54
124,34115,,add,2021-04-11 10:47:32
209,155042,,add,2021-04-11 10:48:01
34,136028,,add,2021-04-11 10:48:24
108,51868,,leave,2021-04-11 10:48:36
176,76592,,add,2021-04-11 10:49:09
199,16684,,add,2021-04-11 10:50:09
29,3759,,add,2021-04-11 10:50:16
93,108224,,add,2021-04-11 10:50:34
138,132735,,add,2021-04-11 10:51:02
175,149488,,add,2021-04-11 10:51:02
209,149488,,add,2021-04-11 10:51:05
224,4057,,leave,2021-04-11 10:51:06
38,693,,add,2021-04-11 10:51:23
204,146330,77664,add,2021-04-11 10:51:26
199,41031,,add,2021-04-11 10:51:32
73,130146,,add,2021-04-11 10:52:05
136,21174,,add,2021-04-11 10:52:24
9,93864,,add,2021-04-11 10:52:30
120,135905,,add,2021-04-11 10:52:31
199,91861,,add,2021-04-11 10:53:08
1,20801,,add,2021-04-11 10:53:18
132,86967,,add,2021-04-11 10:53:49
133,50278,,add,2021-04-11 10:54:07
215,149488,,add,2021-04-11 10:54:11
20,129799,,add,2021-04-11 10:54:26
43,76260,,add,2021-04-11 10:54:30
49,40617,,add,2021-04-11 10:55:16
125,78817,,add,2021-04-11 10:55:40
62,146892,,add,2021-04-11 10:55:49
100,83152,9905,add,2021-04-11 10:55:49
187,136390,94452,add,2021-04-11 10:56:59
93,24094,20003,add,2021-04-11 10:57:17
72,101080,108550,add,2021-04-11 10:57:18
149,149488,,add,2021-04-11 10:58:42
96,2840,,add,2021-04-11 10:58:45
222,108572,,add,2021-04-11 10:59:06
200,121916,,add,2021-04-11 10:59:14
90,34198,,add,2021-04-11 11:00:01
17,85874,,add,2021-04-11 11:00:17
177,1394,,leave,2021-04-11 11:00:34
232,84116,27506,add,2021-04-11 11:00:35
7,149488,51248,add,2021-04-11 11:00:59
102,91746,,add,2021-04-11 11:01:56
6,158439,,add,2021-04-11 11:02:53
116,119096,36760,add,2021-04-11 11:03:15
85,79851,,add,2021-04-11 11:03:20
216,149488,,add,2021-04-11 11:03:32
213,114213,,add,2021-04-11 11:04:14
198,65589,,add,2021-04-11 11:04:21
55,149488,108102,add,2021-04-11 11:04:49
58,128021,,add,2021-04-11 11:05:05
102,149488,,add,2021-04-11 11:05:06
3,14764,,add,2021-04-11 11:05:11
163,127905,,add,2021-04-11 11:06:49
61,66929,,add,2021-04-11 11:06:50
78,112522,,add,2021-04-11 11:06:57
52,115929,,add,2021-04-11 11:08:00
76,149488,,add,2021-04-11 11:08:13
19,159164,,add,2021-04-11 11:08:47
10,57768,,add,2021-04-11 11:10:32
213,149488,,add,2021-04-11 11:10:51
234,9076,,add,2021-04-11 11:11:06
156,81045,99400,add,2021-04-11 11:11:28
105,127313,,add,2021-04-11 11:11:32
88,35128,34480,add,2021-04-11 11:11:33
225,34723,,add,2021-04-11 11:12:04
149,51368,,add,2021-04-11 11:12:18
127,22828,,add,2021-04-11 11:12:28
165,146426,,add,2021-04-11 11:12:44
225,118122,,leave,2021-04-11 11:12:51
59,6812,,add,2021-04-11 11:13:05
108,99114,,add,2021-04-11 11:13:16
70,159949,,add,2021-04-11 11:13:46
224,84957,,add,2021-04-11 11:13:52
180,149488,,add,2021-04-11 11:14:04
177,152692,149488,add,2021-04-11 11:14:27
230,13192,,add,2021-04-11 11:14:45
39,2674,,add,2021-04-11 11:16:54
108,153780,,add,2021-04-11 11:18:14
199,68740,,add,2021-04-11 11:19:11
249,7672,103958,add,2021-04-11 11:19:55
78,85579,,add,2021-04-11 11:19:58
201,103208,,add,2021-04-11 11:20:11
202,133446,,leave,2021-04-11 11:20:49
23,81636,,add,2021-04-11 11:20:56
88,86961,51470,add,2021-04-11 11:21:16
201,102666,,leave,2021-04-11 11:22:19
74,152675,,add,2021-04-11 11:23:19
116,151447,,add,2021-04-11 11:23:31
23,141598,,add,2021-04-11 11:24:05
165,141386,149488,add,2021-04-11 11:24:25
10,97562,,add,2021-04-11 11:25:30
150,144933,,add,2021-04-11 11:28:00
148,149488,,add,2021-04-11 11:28:03
240,26213,,leave,2021-04-11 11:28:23
45,60549,,add,2021-04-11 11:28:37
72,28926,,add,2021-04-11 11:32:07
233,14764,,add,2021-04-11 11:32:16
5,24950,,add,2021-04-11 11:32:33
18,54027,,add,2021-04-11 11:33:44
194,149488,,add,2021-04-11 11:33:49
102,100290,,add,2021-04-11 11:34:17
215,75736,,leave,2021-04-11 11:34:19
161,21147,,add,2021-04-11 11:37:18
40,149488,,add,2021-04-11 11:37:47
13,121959,,add,2021-04-11 11:37:50
108,149488,,add,2021-04-11 11:37:50
76,51004,,add,2021-04-11 11:38:22
22,148523,,add,2021-04-11 11:38:55
24,80980,,add,2021-04-11 11:39:19
76,73355,,leave,2021-04-11 11:39:26
120,7576,,leave,2021-04-11 11:39:39
198,148367,,leave,2021-04-11 11:40:25
98,149488,,leave,2021-04-11 11:40:51
1,109349,,add,2021-04-11 11:42:23
212,42040,,add,2021-04-11 11:42:24
211,149488,149488,add,2021-04-11 11:42:26
234,149488,115063,add,2021-04-11 11:42:28
0,131219,,add,2021-04-11 11:42:44
238,96259,,add,2021-04-11 11:42:44
102,75624,,add,2021-04-11 11:42:46
39,141687,149488,add,2021-04-11 11:43:57
83,23563,,add,2021-04-11 11:44:35
223,24266,,add,2021-04-11 11:44:42
48,57135,,add,2021-04-11 11:44:51
76,6123,9243,add,2021-04-11 11:45:05
100,13324,,add,2021-04-11 11:45:09
106,78042,,leave,2021-04-11 11:45:29
198,31240,,add,2021-04-11 11:45:51
128,142493,,add,2021-04-11 11:46:27
125,149488,,add,2021-04-11 11:47:34
68,28866,,add,2021-04-11 11:48:46
140,15375,,add,2021-04-11 11:49:39
146,29441,,add,2021-04-11 11:50:27
118,149488,,add,2021-04-11 11:50:30
235,149488,149488,add,2021-04-11 11:51:13
144,43660,,add,2021-04-11 11:52:20
139,91631,,leave,2021-04-11 11:52:56
198,75819,,add,2021-04-11 11:53:04
121,22533,,add,2021-04-11 11:53:11
3,3563,,add,2021-04-11 11:54:09
147,149488,,add,2021-04-11 11:55:10
175,149488,,add,2021-04-11 11:55:36
23,370,,add,2021-04-11 11:55:39
146,47766,,add,2021-04-11 11:55:49
66,58332,,add,2021-04-11 11:56:16
231,85956,,add,2021-04-11 11:56:39
65,91203,,add,2021-04-11 11:56:50
207,91020,,add,2021-04-11 11:56:57
